Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
41,Entry short,2020-01-14 06:00,Short,3969.25,1,19846.25,-17,-0.09,34,0.17,-18.5,-0.09,313,0.03
42,Exit long,2020-01-14 13:45,Short,3969,1,19861.25,-18.25,-0.09,29,0.15,-33.5,-0.17,294.75,0.03
42,Entry long,2020-01-14 12:00,Long,3972.25,1,19861.25,-18.25,-0.09,29,0.15,-33.5,-0.17,294.75,0.03
43,Exit short,2020-01-14 14:45,Long,3972.5,1,19845,-19.5,-0.10,40.25,0.20,-18.5,-0.09,275.25,0.03
43,Entry short,2020-01-14 13:45,Short,3969,1,19845,-19.5,-0.10,40.25,0.20,-18.5,-0.09,275.25,0.03
44,Exit long,2020-01-14 19:00,Short,3962,1,19862.5,-54.5,-0.27,1.5,0.01,-54.75,-0.28,220.75,0.02
44,Entry long,2020-01-14 14:45,Long,3972.5,1,19862.5,-54.5,-0.27,1.5,0.01,-54.75,-0.28,220.75,0.02
45,Exit short,2020-01-15 02:30,Long,3968.75,1,19810,-35.75,-0.18,2.75,0.01,-39.75,-0.20,185,0.02
45,Entry short,2020-01-14 19:00,Short,3962,1,19810,-35.75,-0.18,2.75,0.01,-39.75,-0.20,185,0.02
46,Exit long,2020-01-15 08:45,Short,3965.25,1,19843.75,-19.5,-0.10,14,0.07,-26,-0.13,165.5,0.02
46,Entry long,2020-01-15 02:30,Long,3968.75,1,19843.75,-19.5,-0.10,14,0.07,-26,-0.13,165.5,0.02
47,Exit short,2020-01-15 09:45,Long,3973.25,1,19826.25,-42,-0.21,14,0.07,-46,-0.23,123.5,0.01
47,Entry short,2020-01-15 08:45,Short,3965.25,1,19826.25,-42,-0.21,14,0.07,-46,-0.23,123.5,0.01
48,Exit long,2020-01-15 13:00,Short,3973.5,1,19866.25,-0.75,0.00,44,0.22,-6,-0.03,122.75,0.01
48,Entry long,2020-01-15 09:45,Long,3973.25,1,19866.25,-0.75,0.00,44,0.22,-6,-0.03,122.75,0.01
49,Exit short,2020-01-15 16:30,Long,3977,1,19867.5,-19.5,-0.10,44,0.22,-28.5,-0.14,103.25,0.01
49,Entry short,2020-01-15 13:00,Short,3973.5,1,19867.5,-19.5,-0.10,44,0.22,-28.5,-0.14,103.25,0.01
50,Exit long,2020-01-17 07:45,Short,4006,1,19885,143,0.72,165.25,0.83,-4.75,-0.02,246.25,0.02
50,Entry long,2020-01-15 16:30,Long,3977,1,19885,143,0.72,165.25,0.83,-4.75,-0.02,246.25,0.02
51,Exit short,2020-01-17 08:30,Short Exit,4011.25,1,20030,-28.25,-0.14,0,0.00,-27.25,-0.14,218,0.02
51,Entry short,2020-01-17 07:45,Short,4006,1,20030,-28.25,-0.14,0,0.00,-27.25,-0.14,218,0.02
52,Exit long,2020-01-17 09:30,Long Exit,4003.25,1,20058.75,-44.5,-0.22,0.25,0.00,-43.5,-0.22,173.5,0.02
52,Entry long,2020-01-17 08:45,Long,4011.75,1,20058.75,-44.5,-0.22,0.25,0.00,-43.5,-0.22,173.5,0.02
