Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
131,Entry long,2024-05-14 02:00,Long,5715.75,1,28578.75,-39.5,-0.14,22.75,0.08,-38.5,-0.13,633,0.06
132,Exit short,2024-05-14 09:00,Long,5714.5,1,28567.5,-7,-0.02,19,0.07,-22.25,-0.08,626,0.06
132,Entry short,2024-05-14 08:45,Short,5713.5,1,28567.5,-7,-0.02,19,0.07,-22.25,-0.08,626,0.06
133,Exit long,2024-05-14 13:15,Short,5712.25,1,28572.5,-13.25,-0.05,77.75,0.27,-21,-0.07,612.75,0.06
133,Entry long,2024-05-14 09:00,Long,5714.5,1,28572.5,-13.25,-0.05,77.75,0.27,-21,-0.07,612.75,0.06
134,Exit short,2024-05-14 14:15,Long,5728,1,28561.25,-80.75,-0.28,2.75,0.01,-79.75,-0.28,532,0.05
134,Entry short,2024-05-14 13:15,Short,5712.25,1,28561.25,-80.75,-0.28,2.75,0.01,-79.75,-0.28,532,0.05
135,Exit long,2024-05-15 03:15,Short,5742,1,28640,68,0.24,99,0.35,-11,-0.04,600,0.06
135,Entry long,2024-05-14 14:15,Long,5728,1,28640,68,0.24,99,0.35,-11,-0.04,600,0.06
136,Exit short,2024-05-15 08:30,Short Exit,5748.5,1,28710,-34.5,-0.12,26.5,0.09,-33.5,-0.12,565.5,0.06
136,Entry short,2024-05-15 03:15,Short,5742,1,28710,-34.5,-0.12,26.5,0.09,-33.5,-0.12,565.5,0.06
137,Exit long,2024-05-16 02:15,Short,5806.5,1,28816.25,214.25,0.74,251.5,0.87,-31,-0.11,779.75,0.08
137,Entry long,2024-05-15 08:45,Long,5763.25,1,28816.25,214.25,0.74,251.5,0.87,-31,-0.11,779.75,0.08
138,Exit short,2024-05-16 06:45,Long,5806.5,1,29032.5,-2,-0.01,10.25,0.04,-17.25,-0.06,777.75,0.08
138,Entry short,2024-05-16 02:15,Short,5806.5,1,29032.5,-2,-0.01,10.25,0.04,-17.25,-0.06,777.75,0.08
139,Exit long,2024-05-16 09:00,Short,5803.5,1,29032.5,-17,-0.06,30.25,0.10,-23.5,-0.08,760.75,0.08
139,Entry long,2024-05-16 06:45,Long,5806.5,1,29032.5,-17,-0.06,30.25,0.10,-23.5,-0.08,760.75,0.08
140,Exit short,2024-05-16 10:15,Long,5807.75,1,29017.5,-23.25,-0.08,21.5,0.07,-26,-0.09,737.5,0.07
140,Entry short,2024-05-16 09:00,Short,5803.5,1,29017.5,-23.25,-0.08,21.5,0.07,-26,-0.09,737.5,0.07
141,Exit long,2024-05-16 13:15,Long Exit,5799.5,1,29038.75,-43.25,-0.15,56.5,0.19,-42.25,-0.15,694.25,0.07
141,Entry long,2024-05-16 10:15,Long,5807.75,1,29038.75,-43.25,-0.15,56.5,0.19,-42.25,-0.15,694.25,0.07
142,Exit short,2024-05-17 02:30,Long,5793.25,1,29006.25,38,0.13,76.5,0.26,-24.75,-0.09,732.25,0.07
142,Entry short,2024-05-16 13:30,Short,5801.25,1,29006.25,38,0.13,76.5,0.26,-24.75,-0.09,732.25,0.07
143,Exit long,2024-05-17 04:00,Long Exit,5786.25,1,28966.25,-37,-0.13,4,0.01,-36,-0.12,695.25,0.07
143,Entry long,2024-05-17 02:30,Long,5793.25,1,28966.25,-37,-0.13,4,0.01,-36,-0.12,695.25,0.07
144,Exit short,2024-05-17 05:15,Long,5789.5,1,28923.75,-25.75,-0.09,5.25,0.02,-28.5,-0.10,669.5,0.07
144,Entry short,2024-05-17 04:15,Short,5784.75,1,28923.75,-25.75,-0.09,5.25,0.02,-28.5,-0.10,669.5,0.07
145,Exit long,2024-05-17 09:45,Short,5788,1,28947.5,-9.5,-0.03,32.75,0.11,-14.75,-0.05,660,0.07
145,Entry long,2024-05-17 05:15,Long,5789.5,1,28947.5,-9.5,-0.03,32.75,0.11,-14.75,-0.05,660,0.07
146,Exit short,2024-05-17 10:45,Long,5795,1,28940,-37,-0.13,7.75,0.03,-39.75,-0.14,623,0.06
146,Entry short,2024-05-17 09:45,Short,5788,1,28940,-37,-0.13,7.75,0.03,-39.75,-0.14,623,0.06
147,Exit long,2024-05-17 11:45,Short,5787,1,28975,-42,-0.14,4,0.01,-48.5,-0.17,581,0.06
147,Entry long,2024-05-17 10:45,Long,5795,1,28975,-42,-0.14,4,0.01,-48.5,-0.17,581,0.06
